127.0.0.1 - - [29/Jul/2019:15:32:19 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:20 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:20 +0900] "GET /images/c.jpeg HTTP/1.1" 200 16035
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:20 +0900] "GET /images/oracle.png HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:20 +0900] "GET /images/java.png HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:21 +0900] "GET /images/code6.jpeg HTTP/1.1" 200 644924
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:26 +0900] "GET /member/login.kos?work=member&mem_id=test&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:32:27 +0900] "GET /onLineTest/loginAccount.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:33:52 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:33:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:02 +0900] "GET /member/login.kos?work=member&mem_id=test3&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:02 +0900] "GET /onLineTest/loginAccount.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:04 +0900] "GET /onLineTest/testReceipt.jsp HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:05 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:10 +0900] "GET /onLineTest/examReceipt.kos?mem_id=test3&work=onLineTest&mem_name=Jame+Ghosling&exam_date=2019-07-03&sub_cd=1001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:34:10 +0900] "GET /onLineTest/index.jsp HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:40:49 +0900] "GET /onLineTest/reGoTest.jsp HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:40:49 +0900] "POST /onLineTest/subjectList.kos?work=onLineTest HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:41:35 +0900] "GET /ch09/test1.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [29/Jul/2019:15:41:39 +0900] "GET /ch09/test2.jsp?dap1= HTTP/1.1" 200 3296
